gtdb_species_clade_id,GTDB_species,GTDB_taxonomy,no_genomes,no_core,no_accessory,no_singletons,no_gene_clusters,no_CDSes,mean_intra_species_ANI,ANI_circumscription_radius,domain,phylum,class,order,family,genus,pct_core,pct_accessory,pct_singletons,openness,avg_genes_per_genome,rep_genome,in_tree
s__Geothrix_sp903857495--GB_GCA_903857495.1,s__Geothrix_sp903857495,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix,50,2610,398,260.0,3008,157849,99.99,95.0,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,86.77,13.23,8.64,0.152,3157.0,GB_GCA_903857495.1,True
s__RAAP-2_sp903871335--GB_GCA_903871335.1,s__RAAP-2_sp903871335,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2,25,1788,2140,1664.0,3928,54564,99.85,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,45.52,54.48,42.36,1.197,2183.0,GB_GCA_903871335.1,True
s__Mycobacterium_neoaurum--RS_GCF_000691525.1,s__Mycobacterium_neoaurum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,11,3378,3908,2533.0,7286,57233,99.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,46.36,53.64,34.77,1.157,5203.0,RS_GCF_000691525.1,True
s__Kocuria_palustris--RS_GCF_016907795.1,s__Kocuria_palustris,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,18,1813,2542,1474.0,4355,45293,98.19,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,41.63,58.37,33.85,1.402,2516.0,RS_GCF_016907795.1,True
s__MAG-120802_sp010023045--GB_GCA_010023045.1,s__MAG-120802_sp010023045,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802,12,840,3211,2279.0,4051,16454,98.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,MAG-120802,20.74,79.26,56.26,3.823,1371.0,GB_GCA_010023045.1,True
s__PALSA-747_sp903867285--GB_GCA_903867285.1,s__PALSA-747_sp903867285,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,12,745,3348,2118.0,4093,17180,98.56,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,18.2,81.8,51.75,4.494,1432.0,GB_GCA_903867285.1,True
s__Kocuria_rhizophila--RS_GCF_003667225.1,s__Kocuria_rhizophila,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria,27,1789,2590,1334.0,4379,63314,97.73,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,40.85,59.15,30.46,1.448,2345.0,RS_GCF_003667225.1,True
s__Collinsella_sp019041915--RS_GCF_019041915.1,s__Collinsella_sp019041915,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,10,1242,2232,1491.0,3474,18797,96.98,95.145,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,35.75,64.25,42.92,1.797,1880.0,RS_GCF_019041915.1,True
s__Mycobacterium_avium--RS_GCF_009741445.1,s__Mycobacterium_avium,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,249,2911,31906,17753.0,34817,1252677,98.78,96.9043,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,8.36,91.64,50.99,10.96,5031.0,RS_GCF_009741445.1,True
s__Bifidobacterium_dentium--RS_GCF_001042595.1,s__Bifidobacterium_dentium,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,50,1402,4338,2383.0,5740,105212,98.93,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,24.43,75.57,41.52,3.094,2104.0,RS_GCF_001042595.1,True
s__Bifidobacterium_vaginale--RS_GCF_001042655.1,s__Bifidobacterium_vaginale,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,60,989,3285,2087.0,4274,78598,98.4,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,23.14,76.86,48.83,3.322,1310.0,RS_GCF_001042655.1,True
s__Bifidobacterium_kashiwanohense_A--RS_GCF_000800455.1,s__Bifidobacterium_kashiwanohense_A,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,38,1183,6491,3653.0,7674,73544,96.83,95.1942,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,15.42,84.58,47.6,5.487,1935.0,RS_GCF_000800455.1,True
s__Rothia_mucilaginosa_A--RS_GCF_001061665.1,s__Rothia_mucilaginosa_A,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,13,1376,1589,1186.0,2965,21923,97.34,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,46.41,53.59,40.0,1.155,1686.0,RS_GCF_001061665.1,True
s__RAAP-2_sp903825035--GB_GCA_903825035.1,s__RAAP-2_sp903825035,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2,20,1013,3198,2284.0,4211,27923,98.4,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,24.06,75.94,54.24,3.157,1396.0,GB_GCA_903825035.1,True
s__Corynebacterium_glutamicum--RS_GCF_000011325.1,s__Corynebacterium_glutamicum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,81,2085,5409,2750.0,7494,244442,98.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,27.82,72.18,36.7,2.594,3018.0,RS_GCF_000011325.1,True
s__Collinsella_intestinalis--RS_GCF_000156175.1,s__Collinsella_intestinalis,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,15,1072,3226,2479.0,4298,23115,96.89,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,24.94,75.06,57.68,3.009,1541.0,RS_GCF_000156175.1,True
s__Bog-756_sp003138855--GB_GCA_003138855.1,s__Bog-756_sp003138855,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756,14,2609,3936,2645.0,6545,53555,99.82,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Bog-756,39.86,60.14,40.41,1.509,3825.0,GB_GCA_003138855.1,True
s__Bifidobacterium_tibiigranuli--RS_GCF_009371885.1,s__Bifidobacterium_tibiigranuli,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,18,1402,2273,666.0,3675,37587,97.8,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,38.15,61.85,18.12,1.621,2088.0,RS_GCF_009371885.1,True
s__Lancefieldella_sp015258605--GB_GCA_023300185.1,s__Lancefieldella_sp015258605,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella,13,758,3903,2863.0,4661,16335,96.1,95.472,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,16.26,83.74,61.42,5.149,1257.0,GB_GCA_023300185.1,True
s__Corynebacterium_phoceense--RS_GCF_900092335.1,s__Corynebacterium_phoceense,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,17,1816,3278,1828.0,5094,43524,98.06,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,35.65,64.35,35.89,1.805,2560.0,RS_GCF_900092335.1,True
s__QYPT01_sp903834705--GB_GCA_903834705.1,s__QYPT01_sp903834705,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__QYPT01,14,722,2472,1593.0,3194,17358,98.91,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,QYPT01,22.6,77.4,49.87,3.424,1240.0,GB_GCA_903834705.1,True
s__Brevibacterium_ravenspurgense--RS_GCF_001584615.1,s__Brevibacterium_ravenspurgense,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium,10,1577,1472,903.0,3049,20720,96.84,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,51.72,48.28,29.62,0.933,2072.0,RS_GCF_001584615.1,True
s__Mycobacterium_intracellulare--RS_GCF_000277125.1,s__Mycobacterium_intracellulare,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,104,3078,12919,7169.0,15997,562472,98.58,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,19.24,80.76,44.81,4.197,5408.0,RS_GCF_000277125.1,True
s__MedAcidi-G3_sp000817105--GB_GCA_000817105.1,s__MedAcidi-G3_sp000817105,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3,12,1408,2560,1838.0,3968,25904,99.07,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,TK06,MedAcidi-G3,35.48,64.52,46.32,1.818,2159.0,GB_GCA_000817105.1,True
s__Streptomyces_ardesiacus--RS_GCF_003112575.1,s__Streptomyces_ardesiacus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,10,4036,4369,2648.0,8405,70367,99.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,48.02,51.98,31.51,1.083,7037.0,RS_GCF_003112575.1,True
s__Corynebacterium_striatum--RS_GCF_000159135.1,s__Corynebacterium_striatum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,36,1876,3528,1539.0,5404,97605,98.41,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,34.72,65.28,28.48,1.881,2711.0,RS_GCF_000159135.1,True
s__Streptomyces_rimosus--RS_GCF_008704655.1,s__Streptomyces_rimosus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,46,4558,10227,5352.0,14785,378721,99.21,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,30.83,69.17,36.2,2.244,8233.0,RS_GCF_008704655.1,True
s__Enorma_massiliensis--RS_GCF_000311845.1,s__Enorma_massiliensis,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma,14,1267,3248,2144.0,4515,27041,97.21,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,28.06,71.94,47.49,2.564,1932.0,RS_GCF_000311845.1,True
s__Rothia_kristinae--RS_GCF_001570865.1,s__Rothia_kristinae,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,25,1654,1922,1217.0,3576,51530,98.93,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,46.25,53.75,34.03,1.162,2061.0,RS_GCF_001570865.1,True
s__PALSA-747_sp903916385--GB_GCA_903916385.1,s__PALSA-747_sp903916385,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,10,839,2216,1396.0,3055,13865,99.45,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,27.46,72.54,45.7,2.641,1386.0,GB_GCA_903916385.1,True
s__Streptomyces_diastaticus--RS_GCF_011170125.1,s__Streptomyces_diastaticus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,11,3775,3841,2254.0,7616,64891,99.51,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,49.57,50.43,29.6,1.017,5899.0,RS_GCF_011170125.1,True
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,s__Bifidobacterium_adolescentis,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,165,1206,10848,5867.0,12054,293491,98.06,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,10.0,90.0,48.67,8.995,1779.0,RS_GCF_000010425.1,True
s__Microbacterium_sp002313585--RS_GCF_020781975.1,s__Microbacterium_sp002313585,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,18,1531,7931,5189.0,9462,49807,98.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,16.18,83.82,54.84,5.18,2767.0,RS_GCF_020781975.1,True
s__Ellagibacter_isourolithinifaciens--RS_GCF_008831035.1,s__Ellagibacter_isourolithinifaciens,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter,15,1211,5477,4071.0,6688,29246,96.45,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Ellagibacter,18.11,81.89,60.87,4.523,1950.0,RS_GCF_008831035.1,True
s__Casp-actino5_sp017859785--GB_GCA_017859785.1,s__Casp-actino5_sp017859785,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino5,15,1448,2443,1730.0,3891,30044,99.23,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,37.21,62.79,44.46,1.687,2003.0,GB_GCA_017859785.1,True
s__AAA044-D11_sp903836945--GB_GCA_903836945.1,s__AAA044-D11_sp903836945,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__AAA044-D11,11,1038,1288,907.0,2326,14512,99.73,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,AAA044-D11,44.63,55.37,38.99,1.241,1319.0,GB_GCA_903836945.1,True
s__PALSA-747_sp903899375--GB_GCA_903899375.1,s__PALSA-747_sp903899375,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,59,1007,6134,3437.0,7141,89633,99.46,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,14.1,85.9,48.13,6.091,1519.0,GB_GCA_903899375.1,True
s__Corynebacterium_simulans--RS_GCF_001586215.1,s__Corynebacterium_simulans,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,12,1846,2024,1217.0,3870,29863,97.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,47.7,52.3,31.45,1.096,2489.0,RS_GCF_001586215.1,True
s__Bifidobacterium_boum--RS_GCF_000741535.1,s__Bifidobacterium_boum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,11,1182,2251,1556.0,3433,18309,98.46,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,34.43,65.57,45.32,1.904,1664.0,RS_GCF_000741535.1,True
s__Rhodococcus_equi--RS_GCF_002094305.1,s__Rhodococcus_equi,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,83,3241,10037,6797.0,13278,407225,99.04,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,24.41,75.59,51.19,3.097,4906.0,RS_GCF_002094305.1,True
s__Microthrix_parvicella--RS_GCF_000299415.1,s__Microthrix_parvicella,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix,22,2411,7485,5331.0,9896,80301,99.08,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,Microthrix,24.36,75.64,53.87,3.105,3650.0,RS_GCF_000299415.1,True
s__Streptomyces_griseus--RS_GCF_900460065.1,s__Streptomyces_griseus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,14,4680,5896,4390.0,10576,102659,99.62,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,44.25,55.75,41.51,1.26,7333.0,RS_GCF_900460065.1,True
s__Rothia_sp001808955--RS_GCF_001808955.1,s__Rothia_sp001808955,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,26,1414,2500,1721.0,3914,46016,95.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,36.13,63.87,43.97,1.768,1770.0,RS_GCF_001808955.1,True
s__Rhodococcus_opacus--RS_GCF_012396235.1,s__Rhodococcus_opacus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,24,3716,14937,8275.0,18653,201553,98.01,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,19.92,80.08,44.36,4.02,8398.0,RS_GCF_012396235.1,True
s__CG2-30-66-41_sp002779825--GB_GCA_002779825.1,s__CG2-30-66-41_sp002779825,d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__CG2-30-66-41;f__CG2-30-66-41;g__CG2-30-66-41,10,4259,7644,3961.0,11903,73504,99.76,95.0,Bacteria,Armatimonadota,Abditibacteria,CG2-30-66-41,CG2-30-66-41,CG2-30-66-41,35.78,64.22,33.28,1.795,7350.0,GB_GCA_002779825.1,True
s__Enterococcus_D_casseliflavus--RS_GCF_001544095.1,s__Enterococcus_D_casseliflavus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D,83,2026,11773,7030.0,13799,276952,98.27,95.0,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_D,14.68,85.32,50.95,5.811,3337.0,RS_GCF_001544095.1,True
s__Faecalitalea_cylindroides--RS_GCF_000469305.1,s__Faecalitalea_cylindroides,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea,11,1266,2480,1757.0,3746,21336,98.52,95.0,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,33.8,66.2,46.9,1.959,1940.0,RS_GCF_000469305.1,True
s__Bacillus_A_wiedmannii--RS_GCF_001583695.1,s__Bacillus_A_wiedmannii,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A,235,3221,29754,14109.0,32975,1361444,96.5,95.0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,9.77,90.23,42.79,9.238,5793.0,RS_GCF_001583695.1,True
s__CAG-433_sp900546245--GB_GCA_900546245.1,s__CAG-433_sp900546245,d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-433,13,852,1937,1228.0,2789,16054,97.2,95.0,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-433,30.55,69.45,44.03,2.273,1235.0,GB_GCA_900546245.1,True
