gtdb_species_clade_id,GTDB_species,GTDB_taxonomy,no_genomes,no_core,no_accessory,no_singletons,no_gene_clusters,no_CDSes,mean_intra_species_ANI,ANI_circumscription_radius,domain,phylum,class,order,family,genus,pct_core,pct_accessory,pct_singletons,openness,avg_genes_per_genome,rep_genome,in_tree
s__Bifidobacterium_tibiigranuli--RS_GCF_009371885.1,s__Bifidobacterium_tibiigranuli,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,18,1402,2273,666.0,3675,37587,97.8,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,38.15,61.85,18.12,1.621,2088.0,RS_GCF_009371885.1,True
s__Lancefieldella_sp015258605--GB_GCA_023300185.1,s__Lancefieldella_sp015258605,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella,13,758,3903,2863.0,4661,16335,96.1,95.472,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,16.26,83.74,61.42,5.149,1257.0,GB_GCA_023300185.1,True
s__Corynebacterium_phoceense--RS_GCF_900092335.1,s__Corynebacterium_phoceense,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,17,1816,3278,1828.0,5094,43524,98.06,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,35.65,64.35,35.89,1.805,2560.0,RS_GCF_900092335.1,True
s__QYPT01_sp903834705--GB_GCA_903834705.1,s__QYPT01_sp903834705,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__QYPT01,14,722,2472,1593.0,3194,17358,98.91,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,QYPT01,22.6,77.4,49.87,3.424,1240.0,GB_GCA_903834705.1,True
s__Brevibacterium_ravenspurgense--RS_GCF_001584615.1,s__Brevibacterium_ravenspurgense,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium,10,1577,1472,903.0,3049,20720,96.84,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Brevibacteriaceae,Brevibacterium,51.72,48.28,29.62,0.933,2072.0,RS_GCF_001584615.1,True
s__Mycobacterium_intracellulare--RS_GCF_000277125.1,s__Mycobacterium_intracellulare,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium,104,3078,12919,7169.0,15997,562472,98.58,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,19.24,80.76,44.81,4.197,5408.0,RS_GCF_000277125.1,True
s__MedAcidi-G3_sp000817105--GB_GCA_000817105.1,s__MedAcidi-G3_sp000817105,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__MedAcidi-G3,12,1408,2560,1838.0,3968,25904,99.07,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,TK06,MedAcidi-G3,35.48,64.52,46.32,1.818,2159.0,GB_GCA_000817105.1,True
s__Streptomyces_ardesiacus--RS_GCF_003112575.1,s__Streptomyces_ardesiacus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,10,4036,4369,2648.0,8405,70367,99.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,48.02,51.98,31.51,1.083,7037.0,RS_GCF_003112575.1,True
s__Corynebacterium_striatum--RS_GCF_000159135.1,s__Corynebacterium_striatum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,36,1876,3528,1539.0,5404,97605,98.41,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,34.72,65.28,28.48,1.881,2711.0,RS_GCF_000159135.1,True
s__Streptomyces_rimosus--RS_GCF_008704655.1,s__Streptomyces_rimosus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,46,4558,10227,5352.0,14785,378721,99.21,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,30.83,69.17,36.2,2.244,8233.0,RS_GCF_008704655.1,True
s__Enorma_massiliensis--RS_GCF_000311845.1,s__Enorma_massiliensis,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma,14,1267,3248,2144.0,4515,27041,97.21,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,28.06,71.94,47.49,2.564,1932.0,RS_GCF_000311845.1,True
s__Rothia_kristinae--RS_GCF_001570865.1,s__Rothia_kristinae,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,25,1654,1922,1217.0,3576,51530,98.93,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,46.25,53.75,34.03,1.162,2061.0,RS_GCF_001570865.1,True
s__PALSA-747_sp903916385--GB_GCA_903916385.1,s__PALSA-747_sp903916385,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,10,839,2216,1396.0,3055,13865,99.45,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,27.46,72.54,45.7,2.641,1386.0,GB_GCA_903916385.1,True
s__Streptomyces_diastaticus--RS_GCF_011170125.1,s__Streptomyces_diastaticus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,11,3775,3841,2254.0,7616,64891,99.51,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,49.57,50.43,29.6,1.017,5899.0,RS_GCF_011170125.1,True
s__Bifidobacterium_adolescentis--RS_GCF_000010425.1,s__Bifidobacterium_adolescentis,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,165,1206,10848,5867.0,12054,293491,98.06,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,10.0,90.0,48.67,8.995,1779.0,RS_GCF_000010425.1,True
s__Microbacterium_sp002313585--RS_GCF_020781975.1,s__Microbacterium_sp002313585,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,18,1531,7931,5189.0,9462,49807,98.0,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,16.18,83.82,54.84,5.18,2767.0,RS_GCF_020781975.1,True
s__Ellagibacter_isourolithinifaciens--RS_GCF_008831035.1,s__Ellagibacter_isourolithinifaciens,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Ellagibacter,15,1211,5477,4071.0,6688,29246,96.45,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Ellagibacter,18.11,81.89,60.87,4.523,1950.0,RS_GCF_008831035.1,True
s__Casp-actino5_sp017859785--GB_GCA_017859785.1,s__Casp-actino5_sp017859785,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino5,15,1448,2443,1730.0,3891,30044,99.23,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,37.21,62.79,44.46,1.687,2003.0,GB_GCA_017859785.1,True
s__AAA044-D11_sp903836945--GB_GCA_903836945.1,s__AAA044-D11_sp903836945,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__AAA044-D11,11,1038,1288,907.0,2326,14512,99.73,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,AAA044-D11,44.63,55.37,38.99,1.241,1319.0,GB_GCA_903836945.1,True
s__PALSA-747_sp903899375--GB_GCA_903899375.1,s__PALSA-747_sp903899375,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__PALSA-747,59,1007,6134,3437.0,7141,89633,99.46,95.0,Bacteria,Actinomycetota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,14.1,85.9,48.13,6.091,1519.0,GB_GCA_903899375.1,True
s__Corynebacterium_simulans--RS_GCF_001586215.1,s__Corynebacterium_simulans,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,12,1846,2024,1217.0,3870,29863,97.67,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,47.7,52.3,31.45,1.096,2489.0,RS_GCF_001586215.1,True
s__Bifidobacterium_boum--RS_GCF_000741535.1,s__Bifidobacterium_boum,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,11,1182,2251,1556.0,3433,18309,98.46,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,34.43,65.57,45.32,1.904,1664.0,RS_GCF_000741535.1,True
s__Rhodococcus_equi--RS_GCF_002094305.1,s__Rhodococcus_equi,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,83,3241,10037,6797.0,13278,407225,99.04,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,24.41,75.59,51.19,3.097,4906.0,RS_GCF_002094305.1,True
s__Microthrix_parvicella--RS_GCF_000299415.1,s__Microthrix_parvicella,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix,22,2411,7485,5331.0,9896,80301,99.08,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,Microthrix,24.36,75.64,53.87,3.105,3650.0,RS_GCF_000299415.1,True
s__Streptomyces_griseus--RS_GCF_900460065.1,s__Streptomyces_griseus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,14,4680,5896,4390.0,10576,102659,99.62,95.0,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,44.25,55.75,41.51,1.26,7333.0,RS_GCF_900460065.1,True
s__Rothia_sp001808955--RS_GCF_001808955.1,s__Rothia_sp001808955,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia,26,1414,2500,1721.0,3914,46016,95.95,95.0,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,36.13,63.87,43.97,1.768,1770.0,RS_GCF_001808955.1,True
s__Rhodococcus_opacus--RS_GCF_012396235.1,s__Rhodococcus_opacus,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,24,3716,14937,8275.0,18653,201553,98.01,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,19.92,80.08,44.36,4.02,8398.0,RS_GCF_012396235.1,True
s__Anaerotardibacter_sp000436075--GB_GCA_000436075.1,s__Anaerotardibacter_sp000436075,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter,10,805,3575,2617.0,4380,14791,97.33,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Anaerotardibacter,18.38,81.62,59.75,4.441,1479.0,GB_GCA_000436075.1,True
s__Senegalimassilia_anaerobia--RS_GCF_000236865.1,s__Senegalimassilia_anaerobia,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia,12,1203,3115,2159.0,4318,20912,96.43,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia,27.86,72.14,50.0,2.589,1743.0,RS_GCF_000236865.1,True
s__Parolsenella_uli_B--RS_GCF_901212675.1,s__Parolsenella_uli_B,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella,20,1395,4876,2840.0,6271,47051,97.51,95.0,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,22.25,77.75,45.29,3.495,2353.0,RS_GCF_901212675.1,True
s__Rhodococcus_pyridinivorans--RS_GCF_900105195.1,s__Rhodococcus_pyridinivorans,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus,29,2999,8672,4794.0,11671,146602,98.55,95.0,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Rhodococcus,25.7,74.3,41.08,2.892,5055.0,RS_GCF_900105195.1,True
s__Actinomarina_sp003213625--GB_GCA_003213625.1,s__Actinomarina_sp003213625,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina,27,979,1541,1148.0,2520,28486,96.21,95.0,Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Actinomarina,38.85,61.15,45.56,1.574,1055.0,GB_GCA_003213625.1,True
